Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
10-Apr-2024,EQ,1549.90,1549.90,1532.95,1548.55,1534.95,1536.35,1539.41,1757.50,1363.55,13903700,21403551158.35,264951
09-Apr-2024,EQ,1554.85,1554.85,1540.30,1546.60,1544.40,1548.55,1547.47,1757.50,1363.55,10942247,16932784193.35,286447
08-Apr-2024,EQ,1554.95,1557.25,1541.55,1549.55,1545.00,1546.60,1546.80,1757.50,1363.55,10241470,15841481181.95,282686
05-Apr-2024,EQ,1539.00,1554.50,1530.15,1527.60,1550.05,1549.55,1545.34,1757.50,1363.55,29527951,45630707255.45,446260
04-Apr-2024,EQ,1504.00,1530.00,1504.00,1482.30,1529.00,1527.60,1520.65,1757.50,1363.55,44467533,67619706935.10,638189
03-Apr-2024,EQ,1472.10,1495.65,1471.40,1480.15,1484.50,1482.30,1485.06,1757.50,1363.55,22792193,33847785699.15,381267
02-Apr-2024,EQ,1465.15,1494.85,1463.25,1470.50,1479.55,1480.15,1483.23,1757.50,1363.55,20612723,30573359203.20,315849
01-Apr-2024,EQ,1458.00,1473.80,1455.60,1447.90,1470.00,1470.50,1466.67,1757.50,1363.55,12599785,18479761763.45,266085
28-Mar-2024,EQ,1440.70,1460.50,1440.70,1440.70,1447.00,1447.90,1451.60,1757.50,1363.55,27796071,40348658115.25,370836
27-Mar-2024,EQ,1423.55,1447.95,1421.25,1425.40,1443.65,1440.70,1436.27,1757.50,1363.55,31084334,44645417268.50,412302
26-Mar-2024,EQ,1427.20,1437.95,1422.15,1442.85,1424.90,1425.40,1430.24,1757.50,1363.55,28422145,40650467046.25,519149
22-Mar-2024,EQ,1441.00,1450.75,1437.75,1445.75,1442.55,1442.85,1443.79,1757.50,1363.55,22990163,33192980386.60,408312
21-Mar-2024,EQ,1442.60,1451.25,1438.30,1431.05,1445.40,1445.75,1445.43,1757.50,1363.55,14461430,20903015204.35,261033
20-Mar-2024,EQ,1449.05,1451.65,1424.65,1449.35,1432.00,1431.05,1435.82,1757.50,1363.55,21803047,31305142954.85,391871
19-Mar-2024,EQ,1435.50,1452.40,1435.50,1446.05,1449.95,1449.35,1445.73,1757.50,1363.55,18091797,26155872952.15,357501
18-Mar-2024,EQ,1447.00,1456.00,1435.80,1452.65,1445.75,1446.05,1447.44,1757.50,1363.55,10718928,15514993593.40,298423
15-Mar-2024,EQ,1450.00,1459.30,1442.25,1455.45,1454.70,1452.65,1452.16,1757.50,1363.55,71806902,104275232909.40,423259
14-Mar-2024,EQ,1462.10,1466.00,1444.30,1460.40,1457.00,1455.45,1452.98,1757.50,1363.55,26216079,38091465327.10,355538
13-Mar-2024,EQ,1465.50,1471.60,1450.10,1459.55,1459.70,1460.40,1461.57,1757.50,1363.55,31533727,46088810985.45,555367
12-Mar-2024,EQ,1434.00,1464.00,1429.25,1427.80,1460.75,1459.55,1455.21,1757.50,1363.55,32709227,47598903857.45,563469
11-Mar-2024,EQ,1430.00,1445.95,1423.00,1446.10,1427.00,1427.80,1431.56,1757.50,1363.55,25265547,36169185792.10,400746
07-Mar-2024,EQ,1445.50,1451.05,1441.40,1442.60,1446.00,1446.10,1445.23,1757.50,1363.55,24674023,35659521740.40,301040
06-Mar-2024,EQ,1433.55,1452.85,1433.55,1440.85,1442.85,1442.60,1444.30,1757.50,1363.55,21204765,30625970319.20,429803
05-Mar-2024,EQ,1422.00,1443.00,1421.65,1432.70,1439.20,1440.85,1432.70,1757.50,1363.55,18995836,27215248874.45,345780
04-Mar-2024,EQ,1430.95,1437.00,1424.30,1430.75,1432.00,1432.70,1430.81,1757.50,1363.55,17808237,25480270998.65,320401
02-Mar-2024,EQ,1434.55,1436.00,1428.10,1430.75,1430.95,1430.75,1431.16,1757.50,1363.55,895265,1281270465.10,27274
01-Mar-2024,EQ,1400.00,1432.75,1400.00,1403.40,1429.30,1430.75,1419.53,1757.50,1363.55,17369449,24656507108.45,430030
29-Feb-2024,EQ,1402.10,1410.40,1397.30,1409.40,1407.80,1403.40,1403.21,1757.50,1363.55,26647850,37392569225.70,567422
28-Feb-2024,EQ,1420.15,1424.20,1404.00,1420.15,1406.15,1409.40,1414.58,1757.50,1363.55,12660993,17910038294.10,302672
27-Feb-2024,EQ,1413.55,1426.70,1413.05,1422.30,1421.90,1420.15,1419.95,1757.50,1363.55,16043575,22781119940.60,384714
26-Feb-2024,EQ,1413.55,1434.85,1413.55,1420.60,1421.95,1422.30,1426.02,1757.50,1363.55,11753435,16760578868.05,381979
23-Feb-2024,EQ,1422.55,1433.90,1418.00,1419.55,1419.45,1420.60,1425.27,1757.50,1363.55,14916726,21260419308.00,335851
22-Feb-2024,EQ,1417.75,1428.80,1412.20,1439.15,1422.00,1419.55,1419.78,1757.50,1363.55,25280441,35892743575.45,477326
21-Feb-2024,EQ,1464.00,1464.00,1435.00,1454.30,1436.00,1439.15,1446.29,1757.50,1363.55,22946568,33187313941.50,493970
20-Feb-2024,EQ,1415.00,1457.25,1411.80,1417.10,1453.00,1454.30,1443.09,1757.50,1363.55,28066754,40502822506.55,518597
19-Feb-2024,EQ,1429.00,1429.00,1415.20,1419.90,1419.00,1417.10,1420.94,1757.50,1363.55,17225878,24476880448.95,296087
16-Feb-2024,EQ,1423.90,1427.70,1408.45,1414.05,1417.05,1419.90,1417.97,1757.50,1363.55,16087871,22812194900.15,402453
15-Feb-2024,EQ,1385.00,1415.50,1384.35,1384.05,1414.65,1414.05,1402.53,1757.50,1363.55,20792472,29162128685.10,533782
14-Feb-2024,EQ,1376.00,1391.50,1363.55,1394.45,1384.95,1384.05,1373.20,1757.50,1363.55,45660405,62700916687.85,883690
13-Feb-2024,EQ,1391.95,1404.35,1384.35,1390.00,1391.95,1394.45,1394.82,1757.50,1380.25,28790497,40157678244.65,445958
12-Feb-2024,EQ,1399.65,1413.65,1383.35,1403.60,1392.40,1390.00,1394.91,1757.50,1380.25,17223906,24025725748.70,486804
09-Feb-2024,EQ,1392.15,1414.20,1387.00,1403.05,1408.00,1403.60,1402.42,1757.50,1380.25,28321062,39717943985.60,512854
08-Feb-2024,EQ,1429.85,1438.95,1400.50,1429.95,1407.25,1403.05,1415.51,1757.50,1380.25,34553062,48910244009.15,797559
07-Feb-2024,EQ,1453.00,1453.80,1426.65,1444.10,1430.00,1429.95,1435.86,1757.50,1380.25,27418543,39369092511.05,523984
06-Feb-2024,EQ,1445.55,1449.70,1432.60,1444.85,1443.55,1444.10,1442.11,1757.50,1380.25,20537870,29617940997.40,410774
05-Feb-2024,EQ,1446.00,1451.90,1434.05,1446.15,1443.05,1444.85,1442.08,1757.50,1380.25,19302523,27835769812.35,487034
02-Feb-2024,EQ,1475.00,1480.85,1442.05,1466.35,1445.90,1446.15,1461.81,1757.50,1380.25,22433877,32794141061.40,547098
